bay_id,st_marker_id,status,location,lat,lon
6422,13670E,Unoccupied,"(-37.82098157171653, 144.94541576872786)",-37.82098157171653,144.94541576872786
1594,1986N,Unoccupied,"(-37.816649936395535, 144.96227785981011)",-37.816649936395535,144.96227785981011
1503,1861S,Unoccupied,"(-37.819291587190236, 144.95764692833347)",-37.819291587190236,144.95764692833347
3836,C5548,Present,"(-37.80660767581779, 144.95405575694514)",-37.80660767581779,144.95405575694514
5825,12537S,Present,"(-37.81593434885727, 144.9803495112167)",-37.81593434885727,144.9803495112167
5248,11521S,Unoccupied,"(-37.811825749221, 144.95214162680563)",-37.811825749221,144.95214162680563
4760,8814E,Present,"(-37.82276778092039, 144.96684927159748)",-37.82276778092039,144.96684927159748
5451,11854E,Present,"(-37.8126522189701, 144.97796646250606)",-37.8126522189701,144.97796646250606
3205,5463W,Present,"(-37.80741815038276, 144.95430203357068)",-37.80741815038276,144.95430203357068
2569,C3128,Present,"(-37.81353464672647, 144.95796968180505)",-37.81353464672647,144.95796968180505
3620,7568N,Unoccupied,"(-37.80565938100267, 144.954826317798)",-37.80565938100267,144.954826317798
5576,12085W,Unoccupied,"(-37.81104160311037, 144.98332184983354)",-37.81104160311037,144.98332184983354
1019,1112E,Unoccupied,"(-37.81537450838522, 144.9609981458234)",-37.81537450838522,144.9609981458234
4371,C7176,Unoccupied,"(-37.80742646322691, 144.95319331349833)",-37.80742646322691,144.95319331349833
3858,C5612,Present,"(-37.80726545039158, 144.95490180880097)",-37.80726545039158,144.95490180880097
8319,12099W,Present,"(-37.81021916952085, 144.98345853753034)",-37.81021916952085,144.98345853753034
5444,11840E,Present,"(-37.81301337531695, 144.97790603722422)",-37.81301337531695,144.97790603722422
6645,13618E,Present,"(-37.8195015819484, 144.943665942775)",-37.8195015819484,144.943665942775
3387,6217W,Unoccupied,"(-37.80617781003179, 144.95092591905063)",-37.80617781003179,144.95092591905063
1291,4483W,Unoccupied,"(-37.81285802621315, 144.95397486300203)",-37.81285802621315,144.95397486300203
6073,13211S,Unoccupied,"(-37.818778775012674, 144.9477980827565)",-37.818778775012674,144.9477980827565
5836,12559S,Unoccupied,"(-37.81602165092053, 144.98114412999237)",-37.81602165092053,144.98114412999237
5823,12533S,Present,"(-37.81591965830468, 144.98021528232428)",-37.81591965830468,144.98021528232428
2411,C2644,Present,"(-37.80957738121015, 144.9714964048274)",-37.80957738121015,144.9714964048274
5893,C9012,Present,"(-37.802862197977575, 144.96693592455466)",-37.802862197977575,144.96693592455466
5546,12025W,Unoccupied,"(-37.813032957667545, 144.98298944856776)",-37.813032957667545,144.98298944856776
5689,12355S,Unoccupied,"(-37.810087252936114, 144.97994641924595)",-37.810087252936114,144.97994641924595
3191,5415W,Unoccupied,"(-37.80833177449209, 144.95472159046906)",-37.80833177449209,144.95472159046906
5829,12545S,Unoccupied,"(-37.81596396837868, 144.98061896478418)",-37.81596396837868,144.98061896478418
5522,11977W,Present,"(-37.81437468978826, 144.98275918545454)",-37.81437468978826,144.98275918545454
5492,12044E,Present,"(-37.81240391608255, 144.98333221963202)",-37.81240391608255,144.98333221963202
