bay_id,st_marker_id,status,location,lat,lon
4326,C6990,Unoccupied,"(-37.80927211640835, 144.95621497884622)",-37.80927211640835,144.95621497884622
2704,10336E,Unoccupied,"(-37.80338469884515, 144.94396507490433)",-37.80338469884515,144.94396507490433
4277,C6890,Unoccupied,"(-37.809310495093584, 144.9558629671165)",-37.809310495093584,144.9558629671165
3914,C5742,Present,"(-37.804878278928875, 144.95532472315324)",-37.804878278928875,144.95532472315324
6058,13038N,Unoccupied,"(-37.82114193198904, 144.94378884154526)",-37.82114193198904,144.94378884154526
4297,C6930,Unoccupied,"(-37.80937230506347, 144.95599230220782)",-37.80937230506347,144.95599230220782
5185,C8022,Present,"(-37.81053163250514, 144.95226223951698)",-37.81053163250514,144.95226223951698
4029,C6096,Present,"(-37.80485069571662, 144.95231614632763)",-37.80485069571662,144.95231614632763
6414,13664E,Unoccupied,"(-37.819748601877635, 144.94533978013027)",-37.819748601877635,144.94533978013027
4356,C7142,Unoccupied,"(-37.80846791484835, 144.9525733452055)",-37.80846791484835,144.9525733452055
6021,13041S,Present,"(-37.821243395362686, 144.94694244743116)",-37.821243395362686,144.94694244743116
2546,C3066,Present,"(-37.81331155710755, 144.9587341845321)",-37.81331155710755,144.9587341845321
3562,7088N,Unoccupied,"(-37.80885217507168, 144.95347329740525)",-37.80885217507168,144.95347329740525
2572,C3134,Unoccupied,"(-37.81356081145198, 144.9578800977127)",-37.81356081145198,144.9578800977127
6203,13319W,Unoccupied,"(-37.82005184380725, 144.9470437744373)",-37.82005184380725,144.9470437744373
4362,C7158,Unoccupied,"(-37.80713630327168, 144.95378654885616)",-37.80713630327168,144.95378654885616
3938,C5792,Unoccupied,"(-37.8040602342537, 144.95547179734015)",-37.8040602342537,144.95547179734015
4391,C7216,Unoccupied,"(-37.80771698319124, 144.95259512342693)",-37.80771698319124,144.95259512342693
6331,13480E,Present,"(-37.819430187616376, 144.95038763275062)",-37.819430187616376,144.95038763275062
4111,C6374,Present,"(-37.804078905415935, 144.95094698339892)",-37.804078905415935,144.95094698339892
4396,C7226,Unoccupied,"(-37.807819678246815, 144.952383630162)",-37.807819678246815,144.952383630162
3570,7098N,Unoccupied,"(-37.80895014004577, 144.95313144220654)",-37.80895014004577,144.95313144220654
2655,10159W,Unoccupied,"(-37.80465392902081, 144.94924754947715)",-37.80465392902081,144.94924754947715
6760,13103W,Present,"(-37.82088566429645, 144.9441655051868)",-37.82088566429645,144.9441655051868
4354,C7136,Unoccupied,"(-37.8084310108724, 144.9527013175193)",-37.8084310108724,144.9527013175193
4668,8490E,Present,"(-37.8248974184067, 144.96702055374405)",-37.8248974184067,144.96702055374405
1672,2195S,Unoccupied,"(-37.81459404250679, 144.96586446507888)",-37.81459404250679,144.96586446507888
2658,10164E,Present,"(-37.804521879531585, 144.9494598162812)",-37.804521879531585,144.9494598162812
4177,C6616,Present,"(-37.808416953404844, 144.9595582189984)",-37.808416953404844,144.9595582189984
4310,C6956,Unoccupied,"(-37.809255658086165, 144.95607714143563)",-37.809255658086165,144.95607714143563
3634,7585S,Unoccupied,"(-37.80580572237205, 144.9544775689008)",-37.80580572237205,144.9544775689008
2648,10122E,Unoccupied,"(-37.803191517115465, 144.94820900121596)",-37.803191517115465,144.94820900121596
2660,10167W,Present,"(-37.80440418442524, 144.9492897972084)",-37.80440418442524,144.9492897972084
4394,C7222,Present,"(-37.80779350723506, 144.95243753350476)",-37.80779350723506,144.95243753350476
5047,9824N,Unoccupied,"(-37.82505449827978, 144.97033834966942)",-37.82505449827978,144.97033834966942
2164,3819S,Unoccupied,"(-37.810770362556866, 144.9600619696813)",-37.810770362556866,144.9600619696813
3376,6195W,Unoccupied,"(-37.806544410687636, 144.9510926353886)",-37.806544410687636,144.9510926353886
883,791W,Unoccupied,"(-37.81149443594989, 144.96737383811362)",-37.81149443594989,144.96737383811362
5180,C8012,Unoccupied,"(-37.810470857097584, 144.95247608011547)",-37.810470857097584,144.95247608011547
3395,6233W,Unoccupied,"(-37.80596271642133, 144.95082772735728)",-37.80596271642133,144.95082772735728
4069,C6176,Unoccupied,"(-37.80373641156282, 144.95251392706675)",-37.80373641156282,144.95251392706675
2999,5048E,Unoccupied,"(-37.805320727736856, 144.95814372075984)",-37.805320727736856,144.95814372075984
6092,13251S,Present,"(-37.82011525242285, 144.9431517749976)",-37.82011525242285,144.9431517749976
3020,5102E,Present,"(-37.80435626153255, 144.95770235546706)",-37.80435626153255,144.95770235546706
1023,1157W,Present,"(-37.81377750455344, 144.96001017219652)",-37.81377750455344,144.96001017219652
6305,13367W,Unoccupied,"(-37.819569347421655, 144.94969301151178)",-37.819569347421655,144.94969301151178
7063,4702Ea,Present,"(-37.804573127716736, 144.95899052129965)",-37.804573127716736,144.95899052129965
3021,5104E,Present,"(-37.804335100882575, 144.95769222970844)",-37.804335100882575,144.95769222970844
3937,C5790,Unoccupied,"(-37.804085208998885, 144.95546730823222)",-37.804085208998885,144.95546730823222
4364,C7162,Unoccupied,"(-37.80717524022039, 144.95370755869564)",-37.80717524022039,144.95370755869564
4595,8323W,Present,"(-37.824973793951415, 144.96819605726662)",-37.824973793951415,144.96819605726662
3392,6227W,Unoccupied,"(-37.806048953285384, 144.9508671460027)",-37.806048953285384,144.9508671460027
